立即报名 | 5 月 19 日 Tableau 故事慧 Blueprint 系列,
拿起 “放大镜”，和 Tableau 一起近距离观察企鹅,
揭秘 | 全球企业 500 强榜单中的中国名字，究竟谁更大，谁更强？,http://mpvideo.qpic.cn/0bf2naafeaaah4ambtm4irqfa2gdkjuaauqa.f10002.mp4?dis_k=991dc8ca005158ef695d50b6b3673dd4&dis_t=1628564962
将分析带入业务流程：Tableau 的创新愿景,
食品制造业佼佼者 Sager Creek 借助 Tableau 获得供应链洞见,http://mpvideo.qpic.cn/0bf2xuafeaaavqaimduzi5qfbpodkk6qauqa.f10003.mp4?dis_k=0286ff6d7439fd4621e32e1b4a6585ed&dis_t=1628564962
上课啦！5 月 Tableau 最新课程打包奉上，快来了解一下~,
立即报名 | 5 月 12 日房地产开发业务分析应用实践线上分享会,
5 月 19 日 Tableau 故事慧 | 实现 Tableau Blueprint 敏捷工作流程的应用技巧和实际操作程序,
最好玩的电子游戏大集合！Tableau 带你从销量角度看游戏热度～,
倒计时 3 天 | Viz Challenge 即将截稿，抓紧时间提交作品啦！,
数见不凡！Tableau Live 亚太区直播峰会倒计时 4 天，你准备好了吗,
立即报名 | 5 月 19 日 Tableau 故事慧 Blueprint 系列,
Tableau 2021.1 用户体验分享 | “高级业务分析的必由之路”—— 从 Quick LODs 说起,http://mpvideo.qpic.cn/0bf2zqacaaaakqacr6dt35qfbtgdedgaaiaa.f10002.mp4?dis_k=cfcb84ca2a229de37e2a5bfdfa74ba1e&dis_t=1628564966
通过 Tableau 释放 Azure 数据的价值,
演讲者招募 | 加入 2021 Tableau 两场年度数据盛宴，秀出实力闪耀数据舞台,
课程提醒 | 明天下午 Tableau 直播分享：零售快消行业精准营销,
直播报名 | 4 月 27 日数据素养如何养成,
立即报名 | 5 月 12 日房地产开发业务分析应用实践线上分享会,
看电影，读人生 | 与 Tableau 一起细数人生主题的迪士尼动画,
通过 Einstein Discovery 预测丰富 Tableau Prep 的流程数据,
踏云而来！2021 Tableau Live 亚太区直播峰会高能上线，等你来赴约~,
什么是 Tableau 商业科学？,
"精彩再现！""2021 国有企业数字化案例大会"" Tableau 谈建设数据驱动型企业视频回放来啦~",http://mpvideo.qpic.cn/0bf2waaa4aaaluaejkl5bfqfbmgdb2yaadqa.f10002.mp4?dis_k=cc46bf2390e1692ef0867b4404397070&dis_t=1628564970
课程提醒 | Tableau 2021.1 功能亮点概览，Gartner 十大数据分析趋势，制造、零售快消行业分享！,
立即报名 | 4 月 24 日 Tableau 上海、北京用户小组x数据故事慧一周年活动,
入行数据分析该学习掌握什么样的数据分析工具？让就业市场告诉你,http://mpvideo.qpic.cn/0bf2bmadwaaafyam6mtyzbqfac6dhmfqaoya.f10002.mp4?dis_k=422519acb6b78fc1ad74120e676b5f5a&dis_t=1628564973
即刻报名 | 4 月 21 日网络讲座：从 Gartner 数据分析十大趋势谈 Tableau 的创新,
2021 Viz Challenge 强势来袭，赛制全新升级，欢迎组团来战！,
立即报名 | 4 月 24 日 Tableau 上海、北京用户小组x数据故事慧一周年活动,
4 月精彩纷呈，制造、零售快消行业分享，Gartner 十大数据分析趋势，Tableau 新功能！,
"立即报名 | 4 月 16 日  ""2021 国有企业数字化案例大会"" 听 Tableau 谈建设数据驱动型企业",
外星文明是否真的存在？来和 Tableau 一探究竟～,
数字化转型加速器——Tableau 助力东风日产进一步扩充企业数字化人才库,
数字化战略转型的内驱力：建设大数据分析平台,
拒绝重复劳动，培养数据思维：Tableau 助力中粮可口可乐解锁数据潜力,
课程提醒 | 4 月 15 日 Tableau 入门级网络速成课程、4 月 20 日 Tableau 2021.1 功能亮点概览,
4 月 17 日 Tableau 受邀参与 DIA 中国数字临床试验创新论坛 2021,http://mpvideo.qpic.cn/0bf2qeabeaaaseaor2ll5vqfbaodckaqaeqa.f10002.mp4?dis_k=0ccb85d78263602e63c68f89fea20c27&dis_t=1628564978
立即报名 | 4 月 15 日跨境电商企业数据应用实践线上分享会,
紧跟时代步伐，Tableau 带你快速了解播客的崛起,
Tableau 小技巧：如何实现坐标轴的放大镜效果,http://mpvideo.qpic.cn/0b787iaaaaaayiaojvlc7bqfb6wdad5aaaaa.f10002.mp4?dis_k=44968caafa2d22f3aa365c5351d40050&dis_t=1628564981
立即报名 | 4 月 15 日跨境电商企业数据应用实践线上分享会,
通过 Einstein Discovery 在 Tableau 中实现 AI 预测,
Tableau 社区中心中文版重磅上线！在新的社区家园获得启发，让自己的数据之旅到达新的高度,http://mpvideo.qpic.cn/0bf254aaeaaabiaowz3c7vqfb36dalxqaaqa.f10003.mp4?dis_k=72dfca46815525de842c002b6e2e1ad5&dis_t=1628564982
4 月课程活动现已“到货”，快加入你的 schedule~,
直播 | 3 月 30 日 Tableau 企业数字化转型研讨会,
立即报名 3 月 31 日 生命科学领域 Tableau 应用实践线上分享会,
Tableau 2021.1 现已问世，马上探索 Einstein Discovery、快捷 LOD、新的统一通知体验等新功能,
Tableau 小技巧：教你制作震波图,http://mpvideo.qpic.cn/0b787yaayaaatmabg6s4yfqfb7wdbt7aadaa.f10002.mp4?dis_k=ff8d73a7b8239c1216e411b3bd015044&dis_t=1628564985
直播| 3月30日 Tableau 企业数字化转型研讨会,
立即报名 3 月 31 日 生命科学领域 Tableau 应用实践线上分享会,
数据同意+隐私：这对您的业务数字化转型意味着什么,
Tableau 数据存储库——轻松使用第三方数据,
本周四场 Tableau 精彩分享上线，干货多多切莫错过~,
立即报名 3 月 31 日 生命科学领域 Tableau 应用实践线上分享会,
Tableau 小技巧：如何同时显示表现最好和最差的维度值,http://mpvideo.qpic.cn/0bf2f4abaaaamaacc4kp3zqfal6dcaxqaeaa.f10002.mp4?dis_k=059b691b4116c501695907ea18040a4e&dis_t=1628564989
3 月 25 日 Tableau 网络讲座：积极建立数据文化对业务产生的影响,
Tableau 首席技术官：对抗虚假信息，用数据建立信任,
Tableau 三月活动提醒，即刻报名干货尽收囊中！,
立即报名 | 3 月 18 日 Tableau 故事慧 “成功企业如何利用蓝图促进数字化转型”！,
